survey_id,employee_id,survey_date,satisfaction_score,work_life_balance_score,manager_effectiveness_score
S00150_1,E00150,2025-07-23,8,8,9
S00150_2,E00150,2025-12-19,10,10,10
S00150_3,E00150,2025-12-29,10,10,10
S00151_1,E00151,2025-07-09,5,6,7
S00152_1,E00152,2025-08-12,6,7,8
S00152_2,E00152,2025-12-15,8,9,7
S00153_1,E00153,2025-08-21,9,9,6
S00153_2,E00153,2025-10-31,5,8,8
S00154_1,E00154,2025-09-07,7,8,8
S00155_1,E00155,2025-07-21,7,10,6
S00155_2,E00155,2025-10-10,5,8,8
S00156_1,E00156,2025-08-07,10,8,10
S00156_2,E00156,2025-09-05,9,8,8
S00156_3,E00156,2025-11-30,8,10,8
S00157_1,E00157,2025-07-26,6,2,5
S00157_2,E00157,2025-09-12,3,3,2
S00158_1,E00158,2025-07-06,9,10,10
S00158_2,E00158,2025-09-16,8,10,9
S00158_3,E00158,2025-09-25,9,10,10
S00159_1,E00159,2025-08-04,6,6,6
S00159_2,E00159,2025-11-12,7,9,7
S00160_1,E00160,2025-09-28,6,4,8
S00160_2,E00160,2025-11-19,5,8,6
S00160_3,E00160,2025-11-28,5,8,6
S00161_1,E00161,2025-07-03,6,8,8
S00161_2,E00161,2025-12-01,6,6,5
S00162_1,E00162,2025-11-30,7,9,6
S00162_2,E00162,2025-12-03,8,7,9
S00163_1,E00163,2025-09-05,9,7,7
S00163_2,E00163,2025-09-14,6,10,7
S00164_1,E00164,2025-09-05,6,5,5
S00164_2,E00164,2025-11-21,5,7,7
S00165_1,E00165,2025-08-19,7,7,5
S00165_2,E00165,2025-11-06,6,7,6
S00166_1,E00166,2025-07-02,7,9,8
S00166_2,E00166,2025-10-24,9,5,7
S00167_1,E00167,2025-12-21,9,7,7
S00168_1,E00168,2025-09-26,5,6,5
S00168_2,E00168,2025-09-30,8,5,7
S00168_3,E00168,2025-11-03,6,7,6
S00169_1,E00169,2025-07-13,6,8,5
S00169_2,E00169,2025-07-30,7,8,9
S00169_3,E00169,2025-12-24,6,6,6
S00170_1,E00170,2025-09-30,4,5,6
S00170_2,E00170,2025-10-13,4,5,6
S00170_3,E00170,2025-12-28,5,7,5
S00171_1,E00171,2025-08-14,8,5,5
S00172_1,E00172,2025-09-26,5,6,6
S00173_1,E00173,2025-11-29,2,4,3
S00174_1,E00174,2025-12-21,7,4,6
S00175_1,E00175,2025-11-20,10,9,9
S00175_2,E00175,2025-12-04,10,10,6
S00176_1,E00176,2025-11-05,7,8,6
S00177_1,E00177,2025-07-14,5,6,3
S00178_1,E00178,2025-07-12,6,4,5
S00178_2,E00178,2025-07-28,3,4,5
S00179_1,E00179,2025-10-24,4,3,7
S00179_2,E00179,2025-10-26,7,5,6
S00180_1,E00180,2025-10-16,6,5,9
S00180_2,E00180,2025-12-03,5,5,6
S00180_3,E00180,2025-12-25,4,7,6
S00181_1,E00181,2025-11-06,2,4,4
S00181_2,E00181,2025-11-16,5,3,2
S00181_3,E00181,2025-12-25,4,5,3
S00182_1,E00182,2025-07-16,9,8,9
S00182_2,E00182,2025-08-07,9,10,9
S00183_1,E00183,2025-07-14,7,7,4
S00183_2,E00183,2025-09-19,5,8,4
S00183_3,E00183,2025-11-19,8,5,5
S00184_1,E00184,2025-08-03,6,5,6
S00184_2,E00184,2025-08-11,5,8,7
S00185_1,E00185,2025-08-10,5,5,8
S00185_2,E00185,2025-11-07,7,7,7
S00186_1,E00186,2025-07-11,7,8,6
S00186_2,E00186,2025-09-01,7,6,7
S00186_3,E00186,2025-12-22,8,8,7
S00187_1,E00187,2025-12-09,6,3,5
S00188_1,E00188,2025-08-28,10,8,10
S00188_2,E00188,2025-09-05,9,10,9
S00189_1,E00189,2025-10-10,7,8,7
S00189_2,E00189,2025-12-17,7,9,7
S00190_1,E00190,2025-10-09,7,7,8
S00190_2,E00190,2025-11-15,8,10,8
S00191_1,E00191,2025-07-19,6,8,9
S00191_2,E00191,2025-11-18,10,10,7
S00192_1,E00192,2025-10-18,5,6,6
S00193_1,E00193,2025-09-10,7,6,6
S00194_1,E00194,2025-10-29,7,7,5
S00194_2,E00194,2025-11-16,7,9,6
S00194_3,E00194,2025-12-15,6,5,7
S00195_1,E00195,2025-07-11,9,10,10
S00195_2,E00195,2025-09-30,9,10,9
S00195_3,E00195,2025-11-01,10,8,7
S00196_1,E00196,2025-07-20,7,4,8
S00196_2,E00196,2025-09-03,5,6,7
S00196_3,E00196,2025-11-10,5,5,6
S00197_1,E00197,2025-07-30,4,6,6
S00198_1,E00198,2025-11-22,10,10,10
S00198_2,E00198,2025-12-11,9,8,10
S00199_1,E00199,2025-07-18,9,7,8
S00199_2,E00199,2025-11-29,7,7,8
S00200_1,E00200,2025-07-01,9,6,6
S00200_2,E00200,2025-12-21,7,8,7
S00201_1,E00201,2025-10-13,4,6,7
S00201_2,E00201,2025-11-17,7,6,5
S00202_1,E00202,2025-08-22,6,4,5
S00202_2,E00202,2025-10-14,6,7,1
S00203_1,E00203,2025-12-23,9,8,8
S00203_2,E00203,2025-12-26,8,8,9
S00204_1,E00204,2025-08-14,6,6,6
S00205_1,E00205,2025-10-11,3,5,3
S00206_1,E00206,2025-07-02,10,8,8
S00206_2,E00206,2025-09-05,6,7,7
S00207_1,E00207,2025-07-08,4,6,7
S00207_2,E00207,2025-11-28,6,9,8
S00208_1,E00208,2025-08-25,7,8,6
S00208_2,E00208,2025-09-29,9,7,8
S00209_1,E00209,2025-07-11,8,10,8
S00209_2,E00209,2025-11-16,8,10,10
S00210_1,E00210,2025-08-14,5,4,5
S00210_2,E00210,2025-12-23,4,5,7
S00211_1,E00211,2025-10-02,7,7,5
S00211_2,E00211,2025-10-04,6,7,5
S00212_1,E00212,2025-11-10,8,8,6
S00212_2,E00212,2025-11-14,8,10,7
S00212_3,E00212,2025-12-09,8,8,8
S00213_1,E00213,2025-08-20,6,7,4
S00213_2,E00213,2025-12-03,7,8,9
S00214_1,E00214,2025-07-19,8,10,7
S00214_2,E00214,2025-07-21,7,7,8
S00214_3,E00214,2025-08-11,10,7,10
S00215_1,E00215,2025-10-30,9,8,8
S00216_1,E00216,2025-07-09,5,4,6
S00217_1,E00217,2025-09-27,7,5,7
S00217_2,E00217,2025-11-01,6,8,7
S00218_1,E00218,2025-10-04,7,8,10
S00219_1,E00219,2025-09-11,4,1,1
S00219_2,E00219,2025-12-14,5,4,5
S00220_1,E00220,2025-07-24,9,10,8
S00220_2,E00220,2025-08-29,9,10,4
S00221_1,E00221,2025-08-01,5,10,8
S00221_2,E00221,2025-09-02,10,8,10
S00221_3,E00221,2025-12-30,9,9,8
S00222_1,E00222,2025-08-30,7,7,8
S00222_2,E00222,2025-10-20,7,8,7
S00222_3,E00222,2025-12-10,7,9,7
S00223_1,E00223,2025-07-28,6,8,6
S00223_2,E00223,2025-08-02,7,6,10
S00224_1,E00224,2025-10-28,6,9,7
S00225_1,E00225,2025-07-17,7,7,7
S00225_2,E00225,2025-09-21,7,10,7
S00226_1,E00226,2025-12-12,9,10,7
S00227_1,E00227,2025-10-03,6,6,5
S00227_2,E00227,2025-10-15,5,6,4
S00228_1,E00228,2025-07-28,5,6,6
S00228_2,E00228,2025-12-11,6,9,8
S00229_1,E00229,2025-08-31,6,6,6
S00229_2,E00229,2025-09-21,4,6,10
S00229_3,E00229,2025-12-03,5,7,6
S00230_1,E00230,2025-08-09,5,8,7
S00230_2,E00230,2025-11-24,7,7,7
S00231_1,E00231,2025-09-15,6,10,9
S00231_2,E00231,2025-11-30,6,9,9
S00231_3,E00231,2025-12-12,7,9,7
S00232_1,E00232,2025-11-06,7,6,5
S00233_1,E00233,2025-08-03,8,6,8
S00233_2,E00233,2025-08-04,6,9,3
S00234_1,E00234,2025-09-17,8,7,8
S00235_1,E00235,2025-08-07,9,7,8
S00235_2,E00235,2025-09-12,8,8,7
S00236_1,E00236,2025-07-16,9,10,9
S00237_1,E00237,2025-07-26,7,9,7
S00237_2,E00237,2025-12-29,7,7,9
S00238_1,E00238,2025-07-16,7,6,7
S00238_2,E00238,2025-09-09,10,6,9
S00238_3,E00238,2025-12-08,5,6,7
S00239_1,E00239,2025-11-16,10,10,7
S00240_1,E00240,2025-07-31,9,9,10
S00240_2,E00240,2025-08-17,10,7,10
S00241_1,E00241,2025-08-29,10,9,9
S00241_2,E00241,2025-12-04,10,10,10
S00242_1,E00242,2025-08-21,7,7,7
S00242_2,E00242,2025-12-19,10,5,8
S00243_1,E00243,2025-07-10,8,7,8
S00243_2,E00243,2025-12-28,8,8,10
S00244_1,E00244,2025-07-14,6,6,7
S00244_2,E00244,2025-12-24,8,6,7
S00245_1,E00245,2025-08-11,9,9,8
S00245_2,E00245,2025-12-31,8,7,10
S00246_1,E00246,2025-09-18,8,8,9
S00246_2,E00246,2025-10-23,10,6,10
S00247_1,E00247,2025-11-18,7,7,9
S00248_1,E00248,2025-08-11,9,8,9
S00248_2,E00248,2025-08-15,8,10,9
S00249_1,E00249,2025-09-09,4,5,5
S00249_2,E00249,2025-09-23,4,7,7
S00250_1,E00250,2025-11-22,5,6,4
S00251_1,E00251,2025-11-21,4,9,7
S00252_1,E00252,2025-08-19,9,7,7
S00252_2,E00252,2025-09-23,8,8,8
S00252_3,E00252,2025-09-25,6,9,9
S00253_1,E00253,2025-07-08,5,9,7
S00253_2,E00253,2025-09-10,8,6,6
S00253_3,E00253,2025-09-25,9,9,6
S00254_1,E00254,2025-08-21,8,7,8
S00255_1,E00255,2025-07-10,9,7,10
S00256_1,E00256,2025-08-23,6,7,6
S00256_2,E00256,2025-12-11,7,5,6
S00257_1,E00257,2025-09-18,6,6,6
S00258_1,E00258,2025-11-14,5,10,8
S00258_2,E00258,2025-12-19,7,5,9
S00258_3,E00258,2025-12-30,8,7,6
S00259_1,E00259,2025-11-02,8,7,6
S00260_1,E00260,2025-09-01,6,4,6
S00260_2,E00260,2025-12-06,7,9,8
S00261_1,E00261,2025-07-25,7,8,6
S00262_1,E00262,2025-07-01,7,7,8
S00262_2,E00262,2025-08-07,10,7,9
S00263_1,E00263,2025-08-02,10,8,7
S00263_2,E00263,2025-09-14,7,4,6
S00264_1,E00264,2025-10-07,7,5,5
S00265_1,E00265,2025-12-02,9,10,7
S00265_2,E00265,2025-12-26,7,9,9
S00266_1,E00266,2025-07-29,6,2,4
S00266_2,E00266,2025-11-26,5,6,8
S00267_1,E00267,2025-09-26,5,7,5
S00267_2,E00267,2025-11-14,5,6,6
S00268_1,E00268,2025-07-07,7,6,7
S00268_2,E00268,2025-09-12,9,8,7
S00268_3,E00268,2025-12-07,8,6,8
S00269_1,E00269,2025-08-07,9,6,7
S00269_2,E00269,2025-08-09,9,7,7
S00269_3,E00269,2025-11-30,9,10,9
S00270_1,E00270,2025-07-04,6,6,10
S00270_2,E00270,2025-10-20,6,8,4
S00271_1,E00271,2025-11-28,6,7,5
S00271_2,E00271,2025-12-20,5,2,7
S00272_1,E00272,2025-08-25,8,6,6
S00272_2,E00272,2025-12-01,9,10,9
S00273_1,E00273,2025-09-04,8,7,7
S00273_2,E00273,2025-09-21,7,6,6
S00274_1,E00274,2025-10-22,6,6,6
S00275_1,E00275,2025-12-29,8,7,5
S00276_1,E00276,2025-07-24,7,4,7
S00276_2,E00276,2025-12-13,4,8,6
S00277_1,E00277,2025-07-07,7,8,6
S00278_1,E00278,2025-08-24,8,8,8
S00278_2,E00278,2025-12-15,7,10,10
S00279_1,E00279,2025-07-25,8,9,7
S00279_2,E00279,2025-10-25,6,5,7
S00279_3,E00279,2025-12-04,7,10,5
S00280_1,E00280,2025-10-15,6,7,7
S00281_1,E00281,2025-12-14,7,7,7
S00282_1,E00282,2025-09-16,10,7,9
S00282_2,E00282,2025-09-28,10,10,10
S00283_1,E00283,2025-07-14,7,8,9
S00283_2,E00283,2025-10-02,7,10,8
S00283_3,E00283,2025-12-13,8,8,5
S00284_1,E00284,2025-07-26,6,7,7
S00285_1,E00285,2025-07-09,9,8,7
S00286_1,E00286,2025-07-23,3,7,5
S00286_2,E00286,2025-10-14,5,6,9
S00286_3,E00286,2025-11-11,7,6,6
S00287_1,E00287,2025-07-26,6,5,6
S00287_2,E00287,2025-10-24,6,4,5
S00288_1,E00288,2025-08-17,8,7,7
S00288_2,E00288,2025-10-03,10,8,7
S00288_3,E00288,2025-10-12,9,7,8
S00289_1,E00289,2025-08-14,6,5,5
S00289_2,E00289,2025-10-02,6,7,7
S00290_1,E00290,2025-10-04,5,7,5
S00291_1,E00291,2025-07-20,8,9,9
S00292_1,E00292,2025-08-18,9,8,7
S00293_1,E00293,2025-09-05,6,6,7
S00294_1,E00294,2025-08-11,10,10,8
S00294_2,E00294,2025-08-30,8,8,10
S00295_1,E00295,2025-07-02,7,6,6
S00295_2,E00295,2025-08-09,5,6,10
S00295_3,E00295,2025-11-17,8,6,8
S00296_1,E00296,2025-12-03,6,5,5
S00297_1,E00297,2025-12-18,6,7,8
S00298_1,E00298,2025-10-15,6,7,7
S00298_2,E00298,2025-10-17,7,6,3
S00299_1,E00299,2025-10-06,6,6,8
S00300_1,E00300,2025-09-12,7,9,6
S00300_2,E00300,2025-10-15,6,6,4
S00301_1,E00301,2025-07-15,8,8,7
S00302_1,E00302,2025-09-21,7,9,6
S00302_2,E00302,2025-11-17,7,7,7
S00303_1,E00303,2025-11-21,8,6,6
S00304_1,E00304,2025-08-14,8,8,8
S00304_2,E00304,2025-09-26,7,9,7
S00305_1,E00305,2025-07-16,4,7,8
S00305_2,E00305,2025-11-29,7,7,7
S00306_1,E00306,2025-08-31,6,7,8
S00306_2,E00306,2025-12-04,5,5,6
S00307_1,E00307,2025-08-16,7,9,6
S00307_2,E00307,2025-09-29,9,7,9
S00307_3,E00307,2025-10-06,7,8,7
S00308_1,E00308,2025-07-18,6,9,5
S00309_1,E00309,2025-08-13,10,10,8
S00310_1,E00310,2025-10-12,5,7,8
S00310_2,E00310,2025-11-02,8,8,7
S00311_1,E00311,2025-11-11,9,8,5
S00312_1,E00312,2025-10-05,8,9,10
S00313_1,E00313,2025-07-15,5,6,8
S00313_2,E00313,2025-10-09,5,8,7
S00313_3,E00313,2025-11-07,6,8,7
S00314_1,E00314,2025-12-13,8,9,7
S00315_1,E00315,2025-09-21,5,5,6
S00315_2,E00315,2025-10-08,8,8,6
S00316_1,E00316,2025-11-24,7,7,9
S00317_1,E00317,2025-09-15,7,6,6
S00317_2,E00317,2025-10-19,8,5,7
S00318_1,E00318,2025-10-20,10,10,8
S00318_2,E00318,2025-11-22,9,9,7
S00318_3,E00318,2025-12-08,10,8,10
S00319_1,E00319,2025-10-17,10,10,10
S00319_2,E00319,2025-10-20,10,10,10
S00320_1,E00320,2025-07-24,8,5,9
S00320_2,E00320,2025-12-16,8,7,6
S00320_3,E00320,2025-12-19,7,9,9
S00321_1,E00321,2025-07-28,7,9,4
S00322_1,E00322,2025-07-06,7,6,5
