employee_id,age,gender,location,department,job_role,tenure_months,salary,performance_rating,engagement_score,promotion_last_2yrs,remote_status,attrition
E00175,38,Non-Binary,Dallas,Finance,Finance Manager,90,118300,3,79,0,Hybrid,No
E00176,38,Female,Austin,Engineering,Data Engineer,70,156000,3,76,0,Remote,No
E00177,46,Female,New York,Engineering,Data Engineer,149,163600,4,53,0,Onsite,No
E00178,29,Male,Austin,Sales,Business Development Rep,84,106200,2,46,0,Hybrid,No
E00179,45,Male,Austin,Engineering,Software Engineer,93,169200,3,59,0,Hybrid,No
E00180,43,Male,London,IT,Security Analyst,31,99100,4,59,1,Onsite,No
E00181,32,Male,Dublin,Finance,FP&A Analyst,80,106300,3,52,0,Hybrid,No
E00182,29,Male,Atlanta,Operations,Business Operations Specialist,51,92400,2,90,1,Remote,No
E00183,45,Male,New York,Operations,Operations Manager,107,119900,3,62,0,Remote,No
E00184,31,Male,Bangalore,Product,Product Analyst,88,127700,3,63,1,Hybrid,No
E00185,34,Male,Chicago,Sales,Account Executive,105,139100,4,66,1,Onsite,No
E00186,39,Male,Chicago,Customer Support,Customer Success Manager,98,104600,4,65,1,Hybrid,No
E00187,34,Male,Seattle,Marketing,Growth Marketing Manager,22,102100,3,53,0,Hybrid,No
E00188,30,Male,Dublin,Product,UX Research Coordinator,60,141400,3,95,1,Hybrid,No
E00189,28,Male,Chicago,Engineering,Software Engineer,136,160300,3,67,0,Hybrid,No
E00190,49,Female,Dublin,Sales,Sales Manager,83,111600,5,78,1,Onsite,Yes
E00191,31,Female,Seattle,IT,IT Support Engineer,32,100100,4,85,0,Onsite,No
E00192,34,Female,Chicago,Engineering,Senior Software Engineer,59,148000,4,56,0,Onsite,No
E00193,34,Female,Austin,Marketing,Growth Marketing Manager,62,101400,3,67,0,Hybrid,No
E00194,41,Male,Dublin,Operations,Operations Analyst,109,111900,4,67,0,Onsite,No
E00195,40,Male,London,Customer Support,Support Specialist,30,94500,4,89,0,Onsite,No
E00196,33,Female,Bangalore,Engineering,Engineering Manager,97,156500,4,64,0,Hybrid,No
E00197,33,Female,Seattle,Product,Product Analyst,29,140400,3,55,0,Hybrid,No
E00198,30,Female,Redmond,Operations,Operations Analyst,66,117800,5,91,1,Hybrid,No
E00199,46,Female,London,Legal,Compliance Analyst,111,144700,3,67,0,Hybrid,No
E00200,40,Male,Redmond,Customer Support,Customer Success Manager,123,87700,4,77,0,Onsite,No
E00201,47,Female,London,Marketing,Growth Marketing Manager,73,107500,3,67,0,Onsite,Yes
E00202,30,Male,Seattle,Customer Support,Customer Success Manager,83,84900,3,52,0,Hybrid,Yes
E00203,44,Male,London,HR,People Program Manager,58,116600,4,81,1,Hybrid,No
E00204,40,Female,Seattle,IT,Security Analyst,94,127600,5,68,0,Hybrid,No
E00205,43,Female,London,Sales,Sales Operations Analyst,78,110200,4,41,0,Hybrid,Yes
E00206,39,Male,New York,Marketing,Marketing Analyst,74,101900,3,72,0,Hybrid,No
E00207,43,Male,London,Product,Program Manager,150,164600,4,74,0,Hybrid,No
E00208,47,Male,New York,Marketing,Growth Marketing Manager,38,121200,3,71,0,Remote,No
E00209,33,Male,Seattle,Engineering,Senior Software Engineer,79,138700,3,91,1,Remote,No
E00210,32,Non-Binary,Dublin,Sales,Sales Manager,73,108000,2,47,0,Hybrid,Yes
E00211,39,Female,Chicago,Customer Support,Support Specialist,37,84100,4,58,0,Remote,Yes
E00212,31,Male,New York,Engineering,Engineering Manager,107,151800,4,82,0,Onsite,Yes
E00213,33,Male,Redmond,Marketing,Growth Marketing Manager,49,102400,4,80,0,Hybrid,No
E00214,41,Male,Austin,Product,UX Research Coordinator,28,124200,3,85,0,Hybrid,No
E00215,44,Female,Redmond,Product,UX Research Coordinator,85,144800,5,83,0,Remote,Yes
E00216,52,Female,Chicago,Customer Support,Support Specialist,52,75500,3,65,0,Remote,No
E00217,39,Male,Redmond,Legal,Legal Operations Specialist,75,143700,3,75,0,Onsite,No
E00218,51,Female,Atlanta,Engineering,Senior Software Engineer,142,172200,4,69,1,Remote,No
E00219,35,Female,Toronto,Customer Support,Customer Success Manager,39,81400,3,37,0,Hybrid,No
E00220,25,Female,Chicago,HR,People Program Manager,17,113200,4,86,1,Remote,No
E00221,27,Female,London,Customer Support,Support Specialist,102,94000,2,78,0,Onsite,No
E00222,39,Female,Toronto,Legal,Legal Operations Specialist,26,138700,4,70,0,Hybrid,No
E00223,28,Female,Redmond,Product,Product Analyst,79,148200,5,74,0,Remote,No
E00224,50,Male,Austin,Marketing,Marketing Analyst,62,104600,3,61,0,Remote,No
E00225,37,Female,London,Engineering,Senior Software Engineer,102,147000,4,84,0,Hybrid,No
E00226,42,Female,Austin,HR,Recruiter,16,110100,5,89,1,Remote,No
E00227,24,Female,Seattle,Product,Program Manager,134,163300,4,61,0,Hybrid,No
E00228,38,Non-Binary,Redmond,Engineering,Senior Software Engineer,32,136900,4,68,0,Hybrid,No
E00229,52,Male,New York,Product,Program Manager,129,162700,4,63,0,Hybrid,No
E00230,32,Non-Binary,Seattle,HR,HR Business Partner,118,80900,2,63,0,Hybrid,No
E00231,44,Female,Austin,Sales,Sales Operations Analyst,94,125600,4,78,1,Onsite,No
E00232,40,Male,Seattle,IT,Systems Analyst,9,102900,4,72,0,Hybrid,No
E00233,30,Female,Seattle,Legal,Paralegal,22,89800,4,74,1,Hybrid,No
E00234,51,Female,Toronto,Product,Product Analyst,23,121300,4,68,0,Hybrid,No
E00235,32,Male,Atlanta,Operations,Process Improvement Analyst,88,122700,3,73,0,Onsite,No
E00236,41,Male,Toronto,Product,Product Analyst,166,143700,4,91,0,Hybrid,No
E00237,51,Female,Dallas,Finance,Financial Analyst,49,108100,3,77,0,Hybrid,No
E00238,38,Female,Dublin,Product,Product Manager,97,170700,2,61,0,Hybrid,No
E00239,40,Female,Austin,Customer Support,Customer Success Manager,80,104700,3,85,0,Onsite,No
E00240,30,Female,Dallas,Sales,Sales Manager,169,140500,5,98,1,Hybrid,No
E00241,44,Male,London,Customer Support,Escalations Analyst,29,68700,3,98,1,Hybrid,No
E00242,38,Male,Austin,Operations,Process Improvement Analyst,28,88700,3,69,1,Onsite,No
E00243,40,Male,Atlanta,Sales,Business Development Rep,111,124200,4,83,0,Hybrid,No
E00244,27,Male,New York,Customer Support,Support Specialist,42,79200,3,69,0,Hybrid,No
E00245,37,Female,Austin,Marketing,Campaign Manager,127,122100,5,83,0,Remote,No
E00246,51,Female,Austin,Finance,Finance Manager,72,129100,4,81,1,Hybrid,No
E00247,49,Male,New York,Engineering,Data Engineer,37,143600,4,70,0,Remote,No
E00248,26,Female,Redmond,Operations,Operations Manager,117,107500,4,95,0,Hybrid,Yes
E00249,35,Male,Redmond,Customer Support,Support Team Lead,51,67200,2,56,0,Hybrid,Yes
E00250,56,Male,Dallas,HR,HR Analyst,42,71500,4,65,0,Onsite,No
E00251,25,Male,Bangalore,Operations,Operations Manager,80,104700,3,81,0,Remote,No
E00252,39,Female,Redmond,HR,Recruiter,101,103800,3,79,0,Hybrid,No
E00253,34,Male,Seattle,Marketing,Marketing Analyst,68,100100,3,75,0,Hybrid,No
E00254,49,Male,Seattle,Finance,FP&A Analyst,50,108100,4,71,0,Remote,No
E00255,34,Female,Atlanta,Product,Product Analyst,46,142900,4,90,1,Onsite,No
E00256,49,Female,Redmond,Product,Product Manager,46,147300,5,59,1,Onsite,Yes
E00257,29,Female,Bangalore,Engineering,Engineering Manager,69,169200,4,64,0,Hybrid,No
E00258,31,Female,Redmond,Product,Product Manager,76,148400,4,68,0,Hybrid,No
E00259,50,Male,Bangalore,Sales,Business Development Rep,39,126300,3,67,1,Remote,No
E00260,47,Male,Redmond,Engineering,Engineering Manager,106,161800,3,74,0,Remote,No
E00261,31,Male,Austin,Marketing,Growth Marketing Manager,86,101200,4,73,0,Hybrid,No
E00262,47,Male,Dallas,IT,Systems Analyst,46,112100,4,82,1,Hybrid,No
E00263,53,Male,Dublin,Operations,Business Operations Specialist,57,110600,5,73,0,Hybrid,No
E00264,36,Male,Seattle,Engineering,Engineering Manager,45,123100,3,65,0,Hybrid,No
E00265,43,Female,Redmond,Operations,Operations Manager,63,106300,3,82,0,Remote,No
E00266,32,Male,New York,Sales,Business Development Rep,64,110800,3,40,0,Onsite,No
E00267,33,Male,New York,Marketing,Growth Marketing Manager,80,111400,4,64,0,Hybrid,No
E00268,44,Female,Redmond,Legal,Legal Operations Specialist,94,126900,4,67,1,Onsite,Yes
E00269,35,Male,Toronto,Marketing,Campaign Manager,31,112300,4,84,0,Hybrid,Yes
E00270,37,Female,Atlanta,Sales,Account Executive,143,141400,5,71,1,Hybrid,No
E00271,48,Male,Atlanta,Engineering,Engineering Manager,46,134600,3,65,1,Onsite,No
E00272,37,Female,Redmond,Engineering,Software Engineer,35,139900,3,76,0,Remote,No
E00273,37,Male,Dallas,Operations,Operations Manager,139,132300,4,68,0,Remote,No
E00274,32,Female,Redmond,IT,Cloud Operations Analyst,52,115500,4,60,1,Onsite,No
E00275,41,Male,Redmond,Engineering,Engineering Manager,3,134300,2,71,0,Hybrid,No
E00276,47,Male,Redmond,Marketing,Marketing Analyst,62,120700,4,56,0,Onsite,No
E00277,35,Non-Binary,Dallas,Sales,Account Executive,25,109100,4,79,0,Hybrid,No
E00278,54,Male,Chicago,Product,Product Manager,109,150800,5,90,1,Hybrid,No
E00279,50,Male,Atlanta,IT,Systems Analyst,79,129100,3,70,0,Remote,No
E00280,30,Female,Bangalore,Legal,Compliance Analyst,114,152800,4,63,0,Hybrid,Yes
E00281,48,Male,Redmond,Engineering,Senior Software Engineer,78,149200,4,78,1,Remote,No
E00282,36,Female,Chicago,Product,Product Analyst,139,137600,4,84,1,Hybrid,No
E00283,27,Female,Chicago,Operations,Operations Manager,25,92100,3,80,0,Remote,No
E00284,43,Male,Redmond,Engineering,Software Engineer,75,140800,3,61,1,Onsite,No
E00285,40,Female,Atlanta,Engineering,Data Engineer,31,161600,3,75,0,Remote,No
E00286,49,Female,Redmond,Engineering,Data Engineer,77,144800,4,67,0,Hybrid,No
E00287,26,Male,Dublin,Operations,Operations Manager,165,138200,4,58,0,Hybrid,No
E00288,34,Male,Redmond,Customer Support,Customer Success Manager,91,102000,5,81,0,Hybrid,No
E00289,44,Male,Redmond,Marketing,Campaign Manager,18,112700,5,67,0,Onsite,No
E00290,43,Male,Toronto,Product,UX Research Coordinator,99,161700,4,62,0,Onsite,No
E00291,43,Female,Austin,Finance,FP&A Analyst,156,138100,5,83,1,Hybrid,No
E00292,25,Female,Seattle,Finance,Accounting Analyst,55,104000,4,70,0,Onsite,No
E00293,37,Male,Dallas,HR,People Program Manager,85,146700,4,58,0,Hybrid,No
E00294,41,Female,Seattle,Sales,Account Executive,30,128400,4,88,1,Onsite,No
E00295,55,Non-Binary,Redmond,Finance,FP&A Analyst,68,132900,3,64,1,Hybrid,No
E00296,26,Female,Redmond,IT,Security Analyst,87,126000,3,66,1,Hybrid,No
E00297,42,Female,Redmond,Sales,Sales Operations Analyst,146,129000,5,69,0,Onsite,No
E00298,39,Female,Seattle,Customer Support,Support Team Lead,35,78100,5,58,0,Hybrid,Yes
E00299,24,Male,Chicago,Legal,Paralegal,82,136600,3,59,1,Hybrid,No
E00300,37,Male,Seattle,Operations,Business Operations Specialist,13,109700,2,58,0,Hybrid,No
E00301,41,Male,New York,Legal,Legal Operations Specialist,61,117800,4,73,1,Onsite,No
E00302,33,Female,Dublin,Engineering,Engineering Manager,68,142700,5,76,0,Hybrid,Yes
E00303,35,Male,Redmond,Engineering,Engineering Manager,62,126300,3,75,0,Hybrid,No
E00304,30,Female,Dublin,Product,Product Manager,10,138100,3,80,0,Remote,No
E00305,45,Female,Bangalore,Sales,Sales Manager,25,102800,2,66,0,Hybrid,Yes
E00306,26,Male,Seattle,Engineering,Senior Software Engineer,28,131700,4,68,0,Hybrid,No
E00307,29,Male,New York,Legal,Contract Analyst,35,118100,4,82,0,Onsite,No
E00308,40,Female,Redmond,Finance,Financial Analyst,44,126500,5,66,0,Hybrid,No
E00309,29,Female,Bangalore,IT,Cloud Operations Analyst,57,120300,4,85,1,Hybrid,No
